District,Sub-District,Estate,Total po...Total population,Sex ratio,< 15,15 - 39,40 - 64,65+,Male,Female,Both sexes,Never-ma...Never-married male,Never-ma...Never-married female,Cantonese,Putonghu...Putonghua and other Chinese dialects,English ...English and other languages,Hong Kong,The main...The mainland of China/ Macao/ Taiwan,Elsewhere,Primary ...Primary and below,Secondary,Post-sec...Post-secondary,Studying...Studying and living  in the same District Council district,Mass Tra...Mass Transit Railway,On foot only,Bus,School b...School bus/ school private light bus,Others,Working ...Working population,Employees,Employers,Self-emp...Self-employed and unpaid family workers,Non-work...Non-working population,Students,Non-students,Managers...Managers and administrators,Professi...Professionals and associate professionals,"Clerical...Clerical support, service and sales workers","Craft an...Craft and related workers, plant and machine operators and assemblers","Elementa...Elementary occupations , skilled agricultural and fishery workers and occupations not classifiable","Import/e...Import/export, wholesale and retail trades, accommodation and food services","Transpor...Transportation, storage, postal and courier services, information and communications, financing and insurance, real estate, professional and business services","Public a...Public administration, education, human health and social work activities, miscellaneous social and personal services","Manufact...Manufacturing, construction, and other industries",Upper qu...Upper quartile,Median,Lower qu...Lower quartile,Upper qu...Upper quartile,Median,Lower qu...Lower quartile,Upper qu...Upper quartile,Median,Lower qu...Lower quartile,Upper qu...Upper quartile,Median,Lower qu...Lower quartile,Working ...Working and living in the same District Council district(including those working at home)^,Mass Tra...Mass Transit Railway,Bus,On foot only,Public l...Public light bus,Others,Number o...Number of domestic households,1-3,4,5+,Average ...Average domestic household size,Nuclear ...Nuclear family households,Relative...Relative households,Other ho...Other households,Upper qu...Upper quartile,Median,Lower qu...Lower quartile,Upper qu...Upper quartile,Median,Lower qu...Lower quartile,Median age,Chinese,Non-Chinese,1-2,3,4,5+,Without ...Without exclusively used rooms,Per dome...Per domestic household,Per person,Upper qu...Upper quartile,Median,Lower qu...Lower quartile,"Owner-oc...Owner-occupier, with mortgage payment or loan repayment","Owner-oc...Owner-occupier, without mortgage payment and loan repayment",Sole tenant,Others ,Median m...Median monthly mortgage payment and loan repayment,Median m...Median mortgage payment and loan repayment to income ratio,Median o...Median outstanding period of mortgage payment or loan repayment,Median m...Median monthly household rent,Median h...Median household rent to income ratio,Remained...Remained in same address,Resided ...Resided in same District Council district (having migrated),Resided ...Resided in different District Council district (having migrated) ,Resided ...Resided outside Hong Kong
Kowloon City,To Kwa Wan,(To Kwa Wan) Shim Luen Street / Yin On Street 1950-1960's private residential buildings                                                                                                                                                                       ,1607,900,20.6%,31.1%,34.5%,13.8%,37.7,38.5,38.2,12.7%,26.6%,75.6%,8.9%,15.5%,47.9%,35.8%,16.2%,20.2%,53.2%,26.6%,67.1%,8.4%,49.6%,15.9%,17.8%,8.4%,660,91.8%,1.8%,6.4%,947,35.8%,64.2%,12.0%,28.5%,23.2%,7.3%,29.1%,40.2%,29.1%,21.1%,9.7%,HK$25000,HK$13000,HK$9000,HK$25000,HK$13000,HK$10000,50hours,48hours,40hours,50hours,45hours,40hours,29.7%,10.5%,60.3%,10.7%,13.4%,5.1%,(N.A.)–Not available,60.6%,25.5%,13.9%,3.1,58.4%,19.7%,21.9%,HK$26290,HK$15640,HK$11520,HK$26290,HK$15000,HK$11520,46.1,86.2%,13.8%,26.7%,42.8%,25.7%,4.8%,0.0%,3.00rooms,0.98rooms,49m²,43m²,14m²,18.1%,31.7%,46.0%,4.2%,(@) - Figures of individual items...(@) - Figures of individual items are suppressed to ensure data confidentiality.,(@) - Figures of individual items...(@) - Figures of individual items are suppressed to ensure data confidentiality.,(@) - Figures of individual items...(@) - Figures of individual items are suppressed to ensure data confidentiality.,HK$4800,33.3%,54.1%,13.1%,27.1%,5.7%
Kowloon City,To Kwa Wan,(To Kwa Wan) Pang Ching Street / Hung Wan Street 1950-1960's private residential buildings                                                                                                                                                                    ,1414,865,19.4%,36.1%,33.4%,11.1%,35.4,38.6,37.5,24.7%,24.8%,81.9%,4.4%,13.7%,50.4%,34.9%,14.7%,18.8%,50.2%,31.1%,69.4%,0.0%,43.4%,30.6%,12.5%,13.5%,702,92.9%,3.0%,4.1%,712,44.2%,55.8%,12.7%,21.8%,31.1%,11.3%,23.2%,31.9%,32.5%,20.5%,15.1%,HK$25000,HK$12000,HK$8640,HK$26000,HK$12000,HK$8640,50hours,44hours,35hours,50hours,44hours,35hours,24.2%,5.0%,55.0%,8.4%,22.7%,8.9%,(N.A.)–Not available,72.9%,20.7%,6.5%,2.6,66.4%,12.9%,20.7%,HK$43750,HK$18520,HK$10940,HK$43750,HK$18520,HK$10940,48.4,88.1%,11.9%,45.7%,27.5%,19.7%,7.0%,0.0%,2.77rooms,1.05rooms,49m²,43m²,10m²,5.9%,30.7%,59.4%,4.0%,(@) - Figures of individual items...(@) - Figures of individual items are suppressed to ensure data confidentiality.,(@) - Figures of individual items...(@) - Figures of individual items are suppressed to ensure data confidentiality.,(@) - Figures of individual items...(@) - Figures of individual items are suppressed to ensure data confidentiality.,HK$4900,28.1%,40.9%,28.8%,24.8%,5.5%
Kowloon City,To Kwa Wan,(To Kwa Wan) Lun Cheung Street / Ying Yeung Street 1950-1960's private residential buildings                                                                                                                                                                  ,1454,898,21.0%,39.5%,28.0%,11.5%,36.2,32.7,34.9,23.9%,33.1%,84.0%,2.4%,13.6%,42.6%,44.6%,12.7%,14.5%,62.7%,22.8%,63.3%,0.0%,41.1%,39.2%,10.0%,9.7%,692,90.3%,5.3%,4.3%,762,37.9%,62.1%,6.2%,18.5%,28.0%,16.8%,30.5%,18.2%,30.6%,30.9%,20.2%,HK$17000,HK$11880,HK$9000,HK$18000,HK$12000,HK$10000,54hours,45hours,40hours,52hours,45hours,40hours,26.4%,9.2%,51.7%,12.2%,17.8%,9.2%,(N.A.)–Not available,63.0%,27.4%,9.6%,2.7,61.1%,12.3%,26.6%,HK$26000,HK$16800,HK$10000,HK$26000,HK$15790,HK$10000,45.5,92.0%,8.0%,31.9%,40.4%,23.8%,4.0%,0.0%,2.94rooms,1.07rooms,49m²,42m²,12m²,5.1%,21.3%,55.8%,17.7%,(@) - Figures of individual items...(@) - Figures of individual items are suppressed to ensure data confidentiality.,(@) - Figures of individual items...(@) - Figures of individual items are suppressed to ensure data confidentiality.,(@) - Figures of individual items...(@) - Figures of individual items are suppressed to ensure data confidentiality.,HK$4700,33.7%,61.7%,24.8%,12.1%,1.5%
Kowloon City,To Kwa Wan,(To Kwa Wan) near Wing Kwong Street 1950-1960's private residential buildings                                                                                                                                                                                 ,2228,1090,16.8%,39.5%,33.4%,10.3%,36.4,36.1,36.2,31.5%,19.9%,77.6%,10.6%,11.8%,52.2%,35.0%,12.8%,15.2%,59.3%,25.5%,69.3%,6.2%,53.6%,18.9%,15.9%,5.4%,1113,91.8%,3.7%,4.5%,1115,33.1%,66.9%,5.7%,25.7%,38.1%,12.3%,18.2%,38.5%,34.2%,12.3%,14.9%,HK$17500,HK$12250,HK$9230,HK$18000,HK$12570,HK$9250,51hours,43hours,40hours,51hours,43hours,40hours,28.9%,7.6%,44.8%,19.0%,24.1%,4.4%,(N.A.)–Not available,81.7%,13.8%,4.5%,2.3,54.6%,10.3%,35.1%,HK$23440,HK$16200,HK$11300,HK$23440,HK$16200,HK$11300,42.5,90.6%,9.4%,48.7%,28.7%,17.0%,5.6%,0.0%,2.64rooms,1.12rooms,57m²,45m²,10m²,4.3%,27.4%,63.9%,4.5%,(@) - Figures of individual items...(@) - Figures of individual items are suppressed to ensure data confidentiality.,(@) - Figures of individual items...(@) - Figures of individual items are suppressed to ensure data confidentiality.,(@) - Figures of individual items...(@) - Figures of individual items are suppressed to ensure data confidentiality.,HK$4400,30.4%,51.1%,14.5%,21.5%,12.8%
Kowloon City,To Kwa Wan,(To Kwa Wan) 1990's private residential buildings                                                                                                                                                                                                             ,2762,964,9.9%,32.4%,39.7%,18.0%,46.2,48.1,46.5,32.4%,36.2%,91.0%,4.9%,4.2%,71.3%,24.9%,3.9%,23.5%,39.4%,37.1%,64.3%,5.9%,31.0%,28.9%,14.7%,19.5%,1420,89.4%,2.0%,8.6%,1342,20.6%,79.4%,9.2%,33.7%,32.1%,13.5%,11.5%,29.2%,32.1%,26.1%,12.7%,HK$28750,HK$18500,HK$12000,HK$29140,HK$19500,HK$12250,54hours,45hours,40hours,51hours,45hours,40hours,18.5%,8.2%,64.2%,8.9%,8.4%,10.3%,(N.A.)–Not available,72.1%,22.0%,5.9%,2.6,55.2%,15.0%,29.7%,HK$49500,HK$30290,HK$20300,HK$49500,HK$30290,HK$20300,50.7,97.3%,2.7%,25.5%,40.6%,29.6%,4.2%,0.0%,3.08rooms,1.20rooms,43m²,31m²,28m²,32.4%,29.4%,29.6%,8.6%,HK$7280,18.6%,19years,HK$9800,28.5%,61.2%,17.6%,18.4%,2.9%
Kowloon City,To Kwa Wan,(To Kwa Wan) 2000's private residential buildings)                                                                                                                                                                                                            ,3014,848,24.3%,27.8%,37.2%,10.7%,38.7,36.7,38.1,30.3%,25.0%,89.2%,6.5%,4.3%,68.9%,25.9%,5.2%,12.2%,41.5%,46.3%,82.5%,2.0%,31.0%,23.9%,24.3%,18.9%,1589,84.6%,8.0%,7.4%,1425,54.2%,45.8%,19.2%,29.0%,32.2%,4.0%,15.5%,30.3%,33.9%,26.9%,8.9%,HK$33750,HK$20000,HK$12000,HK$34000,HK$20000,HK$15000,49hours,40hours,35hours,48hours,40hours,35hours,30.9%,10.1%,44.7%,14.6%,10.5%,20.0%,(N.A.)–Not available,77.4%,13.3%,9.2%,2.5,61.3%,10.0%,28.7%,HK$52490,HK$30800,HK$18000,HK$52490,HK$30800,HK$18000,48.1,98.6%,1.4%,13.7%,50.6%,30.6%,5.1%,0.0%,3.26rooms,1.29rooms,49m²,43m²,38m²,38.6%,30.5%,28.1%,2.9%,HK$10000,24.1%,14years,HK$13300,40.8%,56.6%,14.6%,24.0%,4.9%
Kowloon City,Laguna,"(Laguna) Tower 1-5, Phase 1 The Greenwood - Laguna Verde (Tai Wan Road 1990's)                                                                                                                                                                                ",1970,710,12.8%,39.1%,41.6%,6.5%,42.8,38.2,38.7,22.5%,31.0%,83.8%,5.4%,10.8%,68.3%,18.4%,13.3%,7.1%,35.9%,57.0%,52.0%,4.8%,15.1%,24.2%,13.1%,42.9%,1075,85.3%,8.7%,6.0%,895,31.2%,68.8%,20.8%,45.4%,13.5%,3.3%,17.0%,22.3%,33.8%,38.4%,5.5%,HK$55000,HK$27600,HK$14000,HK$55000,HK$34000,HK$20000,54hours,44hours,40hours,48hours,43hours,40hours,28.2%,25.4%,39.0%,6.1%,10.7%,18.8%,(N.A.)–Not available,56.2%,29.1%,14.7%,3.1,76.0%,7.2%,16.8%,HK$102490,HK$57500,HK$30410,HK$101750,HK$57500,HK$28750,49.6,93.4%,6.6%,9.1%,37.9%,16.2%,36.8%,0.0%,4.07rooms,1.33rooms,77m²,52m²,49m²,31.0%,38.9%,28.3%,1.8%,HK$16000,21.5%,17years,HK$18000,29.8%,69.3%,14.4%,6.9%,9.4%
Kowloon City,Laguna,"(Laguna) Tower 6, 7, 9 & 10, Phase 2 Villa Verde - Laguna Verde (Laguna Verde Avenue 1990's)                                                                                                                                                                  ",2156,782,12.0%,37.1%,40.7%,10.2%,43.9,39.2,41.4,28.3%,28.7%,78.4%,8.7%,12.9%,57.4%,26.5%,16.1%,8.8%,33.9%,57.2%,72.0%,17.0%,26.6%,2.8%,20.1%,33.6%,1150,88.2%,3.3%,8.5%,1006,28.4%,71.6%,21.0%,41.2%,15.2%,0.0%,22.5%,17.3%,31.1%,47.8%,3.7%,HK$50000,HK$27600,HK$5200,HK$58000,HK$40000,HK$20000,50hours,44hours,40hours,45hours,42hours,40hours,36.2%,27.7%,29.1%,4.7%,10.8%,27.7%,(N.A.)–Not available,56.9%,25.6%,17.4%,3.2,70.2%,14.2%,15.6%,HK$100000,HK$63000,HK$34000,HK$95000,HK$60000,HK$31880,52.6,96.9%,3.1%,2.2%,42.3%,15.1%,40.4%,0.0%,4.24rooms,1.32rooms,82m²,57m²,52m²,27.8%,52.2%,17.3%,2.8%,HK$16500,20.2%,18years,HK$20000,38.0%,79.4%,4.2%,5.2%,11.2%
Kowloon City,Laguna,"(Laguna) Tower 8, 11 & 12, Phase 3 Costa Del Sol - Laguna Verde (Laguna Verde Avenue 2000's)                                                                                                                                                                  ",1393,641,11.4%,33.8%,43.6%,11.2%,42.2,42.5,42.4,26.7%,30.7%,83.4%,4.2%,12.4%,68.3%,13.6%,18.1%,7.9%,30.4%,61.8%,67.0%,21.5%,31.4%,5.2%,15.7%,26.2%,800,82.4%,12.9%,4.8%,593,32.5%,67.5%,26.3%,41.3%,11.5%,2.5%,18.5%,36.0%,20.0%,36.8%,7.3%,HK$40000,HK$26000,HK$11250,HK$60000,HK$30000,HK$20000,49hours,40hours,35hours,45hours,40hours,35hours,30.2%,21.5%,35.0%,9.4%,13.6%,20.4%,(N.A.)–Not available,67.5%,25.8%,6.7%,2.8,79.9%,5.5%,14.7%,HK$89660,HK$49570,HK$24500,HK$89000,HK$49570,HK$20600,54.1,92.9%,7.1%,0.0%,49.7%,16.1%,34.2%,0.0%,3.96rooms,1.39rooms,76m²,52m²,51m²,26.2%,53.2%,19.1%,1.5%,HK$12000,23.0%,9years,(@) - Figures of individual items...(@) - Figures of individual items are suppressed to ensure data confidentiality.,(@) - Figures of individual items...(@) - Figures of individual items are suppressed to ensure data confidentiality.,81.3%,7.0%,9.3%,2.3%
Kowloon City,Laguna,"(Laguna) Tower 12A, 15 & 15A, Phase 3 Costa Del Sol - Laguna Verde (Laguna Verde Avenue 2000's)                                                                                                                                                               ",2015,874,16.7%,34.3%,39.6%,9.5%,41.1,38.7,39.3,23.8%,27.4%,74.5%,2.6%,22.9%,53.4%,23.4%,23.1%,8.6%,38.2%,53.2%,53.4%,7.4%,11.6%,16.8%,38.4%,25.8%,989,77.1%,9.3%,13.5%,1026,41.1%,58.9%,28.0%,30.0%,18.3%,1.9%,21.7%,26.3%,30.2%,38.0%,5.5%,HK$50000,HK$20000,HK$9000,HK$65000,HK$30000,HK$16800,50hours,45hours,40hours,50hours,44hours,40hours,37.6%,17.1%,26.2%,7.1%,6.5%,43.1%,(N.A.)–Not available,44.8%,33.0%,22.1%,3.6,77.9%,13.9%,8.3%,HK$129000,HK$62560,HK$33160,HK$129000,HK$60300,HK$30000,51.1,85.7%,14.3%,1.5%,26.8%,23.5%,48.2%,0.0%,4.48rooms,1.24rooms,103m²,84m²,55m²,38.1%,43.2%,17.1%,1.7%,HK$20000,19.3%,20years,(@) - Figures of individual items...(@) - Figures of individual items are suppressed to ensure data confidentiality.,(@) - Figures of individual items...(@) - Figures of individual items are suppressed to ensure data confidentiality.,70.5%,19.7%,4.9%,4.9%
Kowloon City,Laguna,"(Laguna) Tower 16-18, Phase 4 Laguna Grande - Laguna Verde (Laguna Verde Avenue 2000's)                                                                                                                                                                       ",2756,811,12.0%,42.6%,39.6%,5.8%,38.2,36.5,37.9,27.5%,25.9%,73.6%,6.3%,20.2%,60.1%,20.2%,19.7%,4.8%,33.2%,62.0%,54.6%,14.4%,10.8%,23.6%,24.3%,27.0%,1551,81.5%,11.2%,7.3%,1205,39.2%,60.8%,27.7%,33.8%,16.3%,2.8%,19.4%,26.2%,38.9%,28.4%,6.4%,HK$53000,HK$25000,HK$13500,HK$60000,HK$30000,HK$20000,51hours,45hours,40hours,45hours,43hours,40hours,33.1%,21.8%,26.5%,12.9%,8.6%,30.3%,(N.A.)–Not available,53.4%,22.1%,24.5%,3.4,77.4%,10.2%,12.4%,HK$114750,HK$67420,HK$40150,HK$114750,HK$65000,HK$40000,52.5,90.3%,9.7%,4.1%,29.7%,16.2%,49.9%,0.0%,4.58rooms,1.36rooms,102m²,85m²,55m²,18.1%,46.9%,19.5%,15.5%,HK$10560,11.5%,8years,HK$19800,29.8%,68.2%,9.4%,11.1%,11.3%
Kowloon City,Laguna,"(Laguna) Tower 19-21, Phase 4 Laguna Grande - Laguna Verde (Laguna Verde Avenue 2000's)                                                                                                                                                                       ",1581,964,17.4%,33.1%,38.3%,11.2%,42.7,38.9,39.3,23.3%,23.4%,73.9%,8.8%,17.3%,57.0%,23.0%,20.1%,8.6%,41.2%,50.2%,49.6%,11.2%,32.2%,7.0%,42.6%,7.0%,816,75.2%,9.4%,15.3%,765,34.1%,65.9%,26.8%,33.9%,15.1%,5.3%,18.9%,36.2%,27.8%,29.4%,6.6%,HK$45000,HK$21250,HK$9000,HK$55000,HK$30000,HK$19000,50hours,43hours,40hours,45hours,40hours,35hours,37.4%,29.8%,40.8%,10.1%,4.8%,14.5%,(N.A.)–Not available,51.4%,36.3%,12.3%,3.3,74.3%,11.5%,14.2%,HK$80500,HK$45000,HK$25000,HK$80500,HK$44300,HK$21600,50.7,88.9%,11.1%,3.6%,44.4%,18.7%,33.3%,0.0%,3.98rooms,1.22rooms,79m²,51m²,50m²,28.7%,40.3%,22.9%,8.1%,HK$21250,23.0%,10years,HK$19000,36.7%,70.4%,5.1%,10.4%,14.0%
Kowloon City,Laguna,"(Laguna) Tower 22, 23, 23A, 25, Phase 5 Ocean Vista - Laguna Verde / Harbourfront Landmark (Laguna Verde Avenue / Wan Hoi Street 2000's)                                                                                                                      ",3101,782,9.5%,36.6%,49.1%,4.8%,49.2,39.9,43.8,27.1%,29.5%,73.7%,8.8%,17.5%,60.3%,21.6%,18.2%,10.5%,43.7%,45.8%,54.1%,20.4%,15.7%,10.6%,28.4%,25.0%,1751,74.4%,9.5%,16.2%,1350,36.5%,63.5%,32.7%,28.3%,17.2%,1.0%,20.7%,32.7%,25.2%,32.4%,9.8%,HK$39380,HK$21250,HK$8250,HK$42500,HK$30000,HK$15500,50hours,43hours,40hours,50hours,40hours,35hours,31.8%,14.3%,28.1%,8.1%,9.1%,40.4%,(N.A.)–Not available,60.5%,19.3%,20.2%,3.1,73.2%,5.8%,21.0%,HK$90000,HK$55240,HK$33000,HK$90000,HK$54130,HK$31250,53.5,90.8%,9.2%,0.9%,29.7%,15.2%,54.1%,0.0%,4.65rooms,1.52rooms,126m²,82m²,52m²,39.0%,33.3%,20.0%,7.8%,HK$15000,20.2%,14years,HK$19500,36.7%,67.7%,12.5%,11.9%,7.9%
Kowloon City,Kai Tak New Area,(Kai Tak New Area) Tak Long Estate - Tak Yiu House (Shing Kai Road 2000's residential buildings) / De Novo (Muk Chiu Street 2000's private residential buildings)                                                                                             ,2495,748,16.8%,34.1%,35.5%,13.6%,41.3,38.8,39.3,27.7%,25.0%,81.9%,16.4%,1.7%,53.2%,45.1%,1.8%,30.6%,54.4%,15.0%,13.9%,40.2%,22.7%,15.9%,11.7%,9.5%,1066,95.7%,0.0%,4.3%,1429,38.0%,62.0%,0.8%,9.1%,54.4%,14.5%,21.1%,36.7%,30.4%,17.2%,15.8%,HK$15000,HK$12250,HK$9300,HK$15000,HK$12480,HK$9500,55hours,45hours,40hours,55hours,45hours,40hours,15.0%,37.0%,42.6%,3.2%,6.7%,10.5%,(N.A.)–Not available,75.4%,8.5%,16.0%,3.0,69.2%,29.8%,1.0%,HK$25250,HK$18500,HK$12480,HK$25250,HK$18490,HK$12480,50.2,98.7%,1.3%,50.6%,41.1%,8.3%,0.0%,0.0%,2.36rooms,0.79rooms,38m²,30m²,22m²,0.0%,0.0%,100.0%,0.0%,(N.A.)–Not available,(N.A.)–Not available,(N.A.)–Not available,HK$1800,10.3%,0.0%,9.7%,89.3%,1.0%
Kowloon City,Kai Tak New Area,(Kai Tak New Area) Tak Long Estate - Tak Yu House (Shing Kai Road 2000's residential buildings)                                                                                                                                                               ,1972,1061,8.9%,34.2%,45.5%,11.4%,44.2,45.3,44.8,35.9%,29.8%,87.5%,12.5%,0.0%,47.7%,50.7%,1.6%,21.3%,59.2%,19.5%,14.7%,28.9%,12.1%,44.0%,7.3%,7.7%,1005,92.7%,1.0%,6.3%,967,25.7%,74.3%,2.2%,15.0%,48.1%,10.6%,24.1%,32.5%,29.0%,17.6%,20.9%,HK$14000,HK$11000,HK$8800,HK$14000,HK$11000,HK$9000,54hours,45hours,39hours,54hours,45hours,39hours,16.4%,34.6%,36.8%,6.5%,14.1%,8.0%,(N.A.)–Not available,91.4%,5.2%,3.3%,2.1,54.2%,12.6%,33.1%,HK$19850,HK$13300,HK$8000,HK$19850,HK$13300,HK$8000,54.5,98.9%,1.1%,83.0%,13.8%,3.2%,0.0%,0.0%,1.73rooms,0.84rooms,22m²,22m²,14m²,0.0%,0.0%,100.0%,0.0%,(N.A.)–Not available,(N.A.)–Not available,(N.A.)–Not available,HK$1310,9.9%,0.0%,16.0%,80.4%,3.6%
Kowloon City,Kai Tak New Area,(Kai Tak New Area) Tak Long Estate - Tak Pui House (Shing Kai Road 2000's residential buildings)                                                                                                                                                              ,2198,1118,13.7%,33.1%,43.4%,9.7%,43.1,42.6,42.6,33.5%,22.4%,86.0%,11.2%,2.8%,42.1%,55.1%,2.9%,22.6%,56.5%,20.9%,22.1%,43.0%,12.6%,24.5%,4.3%,15.6%,1166,91.0%,2.8%,6.2%,1032,38.2%,61.8%,4.0%,12.1%,43.8%,16.2%,23.8%,33.2%,28.5%,20.6%,17.8%,HK$16000,HK$11750,HK$9000,HK$16000,HK$12000,HK$9250,54hours,45hours,40hours,54hours,45hours,40hours,15.9%,40.1%,31.6%,1.2%,12.1%,14.9%,(N.A.)–Not available,79.8%,12.2%,8.0%,2.5,58.4%,17.4%,24.3%,HK$28000,HK$17600,HK$10000,HK$28000,HK$17600,HK$10000,52.8,99.0%,1.0%,54.3%,38.5%,6.4%,0.8%,0.0%,2.27rooms,0.90rooms,30m²,22m²,22m²,0.0%,0.0%,100.0%,0.0%,(N.A.)–Not available,(N.A.)–Not available,(N.A.)–Not available,HK$1600,9.6%,0.0%,13.9%,80.6%,5.5%
Kowloon City,Kai Tak New Area,(Kai Tak New Area) Tak Long Estate - Tak Shan House (Shing Kai Road 2000's residential buildings)                                                                                                                                                             ,2865,775,22.7%,31.7%,38.3%,7.3%,40.9,32.0,34.3,25.5%,27.1%,90.8%,9.2%,0.0%,47.4%,51.4%,1.2%,17.5%,60.6%,21.9%,23.9%,14.5%,15.0%,37.9%,16.0%,16.7%,1152,92.8%,0.9%,6.3%,1713,40.9%,59.1%,1.9%,16.1%,47.6%,11.3%,23.1%,34.4%,32.0%,16.8%,16.8%,HK$15000,HK$12000,HK$9250,HK$15000,HK$12000,HK$9500,53hours,44hours,40hours,53hours,44hours,40hours,15.6%,40.0%,31.2%,4.9%,13.2%,10.6%,(N.A.)–Not available,68.7%,23.4%,7.9%,2.7,55.3%,19.2%,25.6%,HK$24250,HK$15000,HK$8470,HK$24250,HK$14650,HK$8470,50.3,99.0%,1.0%,56.0%,38.0%,5.0%,1.0%,0.0%,2.22rooms,0.83rooms,30m²,30m²,22m²,0.0%,0.0%,100.0%,0.0%,(N.A.)–Not available,(N.A.)–Not available,(N.A.)–Not available,HK$1750,11.4%,0.0%,5.2%,91.8%,3.1%
Kowloon City,Kai Tak New Area,(Kai Tak New Area) Tak Long Estate - Tak Kei House (Shing Kai Road 2000's residential buildings)                                                                                                                                                              ,1907,993,11.2%,28.9%,43.1%,16.8%,46.2,47.7,46.6,30.7%,25.2%,90.0%,3.9%,6.1%,46.6%,46.9%,6.5%,22.1%,62.6%,15.2%,27.9%,21.6%,21.2%,34.6%,3.0%,19.7%,744,94.8%,0.0%,5.2%,1163,22.7%,77.3%,2.4%,17.7%,37.0%,14.4%,28.5%,23.5%,44.9%,18.8%,12.8%,HK$16000,HK$12250,HK$10000,HK$16000,HK$12250,HK$10000,51hours,43hours,36hours,51hours,43hours,36hours,15.2%,33.1%,50.7%,3.0%,11.9%,1.3%,(N.A.)–Not available,96.8%,2.1%,1.1%,2.0,59.0%,7.2%,33.8%,HK$19790,HK$12000,HK$8000,HK$19790,HK$12000,HK$8000,54.7,96.1%,3.9%,72.2%,26.7%,1.1%,0.0%,0.0%,1.94rooms,0.96rooms,30m²,22m²,14m²,0.0%,0.0%,100.0%,0.0%,(N.A.)–Not available,(N.A.)–Not available,(N.A.)–Not available,HK$1320,10.0%,0.0%,9.6%,85.9%,4.5%
Kowloon City,Kai Tak New Area,(Kai Tak New Area) Tak Long Estate - Tak Sui House (Shing Kai Road 2000's residential buildings)                                                                                                                                                              ,2017,880,8.5%,27.5%,42.3%,21.7%,46.3,48.2,47.8,32.9%,24.9%,90.8%,8.7%,0.6%,44.7%,53.7%,1.5%,26.0%,55.8%,18.2%,24.1%,24.9%,23.3%,27.3%,8.3%,16.2%,879,91.9%,0.0%,8.1%,1138,22.5%,77.5%,1.1%,9.4%,38.3%,16.3%,34.8%,22.1%,39.0%,18.2%,20.7%,HK$13900,HK$11400,HK$9750,HK$13900,HK$11500,HK$9750,50hours,44hours,35hours,50hours,44hours,35hours,15.0%,31.8%,53.8%,3.1%,8.2%,3.1%,(N.A.)–Not available,90.9%,7.9%,1.1%,2.1,50.8%,16.8%,32.4%,HK$18050,HK$12000,HK$8000,HK$18050,HK$12000,HK$7200,53.7,99.1%,0.9%,79.9%,14.9%,4.0%,1.1%,0.0%,1.83rooms,0.88rooms,30m²,22m²,14m²,0.0%,0.0%,100.0%,0.0%,(N.A.)–Not available,(N.A.)–Not available,(N.A.)–Not available,HK$1350,11.1%,0.0%,12.8%,84.0%,3.2%
Kowloon City,Kai Tak New Area,(Kai Tak New Area) Tak Long Estate - Tak Cheung House (Shing Kai Road 2000's residential buildings)                                                                                                                                                           ,1626,952,9.8%,27.6%,46.9%,15.8%,45.0,50.6,47.2,34.4%,25.5%,75.1%,20.6%,4.3%,48.1%,47.7%,4.2%,31.6%,46.0%,22.4%,14.9%,46.2%,10.1%,29.3%,9.6%,4.8%,809,94.8%,0.0%,5.2%,817,22.5%,77.5%,3.8%,21.5%,35.6%,16.7%,22.4%,26.5%,36.7%,20.3%,16.6%,HK$15000,HK$11540,HK$8250,HK$15500,HK$11750,HK$8750,50hours,44hours,39hours,49hours,44hours,39hours,18.0%,37.6%,44.9%,3.5%,3.6%,10.3%,(N.A.)–Not available,94.7%,4.0%,1.3%,2.1,56.1%,13.4%,30.5%,HK$20000,HK$11740,HK$8500,HK$20000,HK$11740,HK$8360,55.6,97.8%,2.2%,75.1%,23.6%,1.3%,0.0%,0.0%,1.94rooms,0.93rooms,30m²,22m²,22m²,0.0%,0.0%,100.0%,0.0%,(N.A.)–Not available,(N.A.)–Not available,(N.A.)–Not available,HK$1550,11.4%,0.0%,9.5%,83.8%,6.7%
Kowloon City,Kai Tak New Area,(Kai Tak New Area) Tak Long Estate - Tak Ying House (Shing Kai Road 2000's residential buildings)                                                                                                                                                             ,2094,863,14.0%,35.1%,34.3%,16.5%,43.3,38.5,40.4,25.5%,26.3%,81.5%,17.5%,1.0%,44.6%,52.4%,3.0%,23.2%,58.9%,17.8%,24.5%,29.5%,14.9%,37.3%,6.5%,11.8%,826,93.6%,0.0%,6.4%,1268,29.7%,70.3%,0.0%,18.8%,41.2%,19.0%,21.1%,26.4%,34.7%,16.0%,22.9%,HK$16000,HK$13500,HK$10000,HK$16000,HK$13500,HK$10000,50hours,45hours,42hours,50hours,45hours,42hours,12.0%,33.1%,42.9%,0.0%,14.0%,10.0%,(N.A.)–Not available,87.0%,9.6%,3.5%,2.4,63.6%,17.5%,18.9%,HK$20000,HK$15000,HK$9000,HK$20000,HK$15000,HK$9000,51.1,98.9%,1.1%,72.4%,25.1%,1.3%,1.3%,0.0%,2.06rooms,0.87rooms,30m²,22m²,22m²,0.0%,0.0%,100.0%,0.0%,(N.A.)–Not available,(N.A.)–Not available,(N.A.)–Not available,HK$1500,11.3%,0.0%,12.3%,84.0%,3.7%
